 ,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,SEASON
15,Chicago Bulls,5,1,4,.200,49.0,90.0,33.2,78.6,42.2,6.4,19.2,33.3,17.2,22.8,75.4,12.2,29.6,41.8,20.2,13.2,5.0,4.4,6.6,22.0,22.2,-4.6,2014
16,Charlotte Hornets,4,0,4,.000,48.0,92.0,33.8,75.3,44.9,7.8,21.3,36.5,16.8,23.5,71.3,8.3,31.5,39.8,19.8,15.0,4.3,4.5,4.5,20.3,19.8,-9.8,2014
1,San Antonio Spurs,21,15,6,.714,49.4,100.3,38.0,82.2,46.3,7.9,20.8,37.8,16.4,21.5,76.3,9.7,32.9,42.6,21.9,12.9,7.9,5.0,4.7,19.1,21.1,7.0,2013
2,Miami Heat,23,16,7,.696,48.4,97.1,35.8,76.6,46.8,7.7,20.2,38.1,17.8,23.2,76.6,9.7,28.4,38.1,20.6,13.1,8.3,5.4,3.4,22.2,21.0,6.4,2013
3,Indiana Pacers,19,11,8,.579,48.3,91.8,32.2,74.4,43.3,6.3,19.2,32.7,21.1,28.5,74.0,12.7,32.9,45.6,17.5,16.4,5.4,4.5,4.7,22.4,24.8,0.2,2013
4,Memphis Grizzlies,15,8,7,.533,49.0,94.7,34.1,81.5,41.8,4.8,14.8,32.4,21.7,29.1,74.8,11.7,30.0,41.7,19.3,10.7,7.3,4.6,6.5,22.1,25.3,0.6,2013
5,Golden State Warriors,12,6,6,.500,49.3,102.7,39.0,84.4,46.2,8.7,22.3,38.8,16.0,21.8,73.6,11.5,34.6,46.1,21.7,16.5,6.4,4.9,3.5,23.8,21.9,0.2,2013
5,New York Knicks,12,6,6,.500,48.4,88.6,33.3,81.0,41.0,8.0,23.3,34.3,14.1,18.0,78.2,10.7,28.8,39.5,15.1,11.6,8.8,4.3,4.2,23.8,18.9,2.7,2013
7,Oklahoma City Thunder,11,5,6,.455,48.5,98.5,34.8,81.6,42.7,8.6,24.7,34.9,20.2,24.1,83.8,9.8,33.1,42.9,18.1,13.6,6.0,7.0,4.9,24.9,22.1,1.4,2013
8,Brooklyn Nets,7,3,4,.429,50.1,99.4,37.0,83.7,44.2,6.1,19.4,31.6,19.3,25.4,75.8,11.7,30.4,42.1,19.9,11.6,6.3,5.6,5.7,19.9,21.7,2.0,2013
9,Chicago Bulls,12,5,7,.417,49.3,91.9,35.0,79.9,43.8,5.4,17.0,31.9,16.5,22.9,72.0,11.8,29.0,40.8,19.5,14.3,6.4,4.6,5.8,22.4,21.2,-6.7,2013
10,Atlanta Hawks,6,2,4,.333,48.0,89.3,32.7,77.3,42.2,6.2,18.7,33.0,17.8,26.2,68.2,8.3,30.0,38.3,19.2,12.2,7.3,3.8,4.8,24.2,23.8,-5.2,2013
10,Boston Celtics,6,2,4,.333,48.8,82.3,28.5,69.0,41.3,6.8,20.7,33.1,18.5,21.5,86.0,5.2,33.8,39.0,16.8,17.3,5.5,3.0,4.3,18.8,21.3,-5.3,2013
10,Denver Nuggets,6,2,4,.333,48.0,103.0,37.2,84.8,43.8,7.0,22.5,31.1,21.7,29.7,73.0,11.8,26.8,38.7,21.2,14.5,9.0,2.8,6.7,23.2,23.5,-4.2,2013
10,Houston Rockets,6,2,4,.333,48.0,100.0,34.3,81.0,42.4,11.7,33.7,34.7,19.7,27.7,71.1,10.8,32.7,43.5,18.0,15.8,5.8,5.5,7.3,23.2,24.7,-5.8,2013
10,LA Clippers,6,2,4,.333,48.0,94.7,35.2,75.3,46.7,5.8,19.2,30.4,18.5,23.7,78.2,8.8,28.3,37.2,18.0,13.3,5.2,5.7,4.2,27.8,23.8,-5.5,2013
15,Los Angeles Lakers,4,0,4,.000,48.0,85.3,34.5,78.0,44.2,5.0,18.5,27.0,11.3,18.5,60.8,8.5,31.5,40.0,18.5,16.5,5.8,5.3,5.0,17.5,18.0,-18.8,2013
15,Milwaukee Bucks,4,0,4,.000,48.0,85.3,33.3,76.8,43.3,6.0,23.0,26.1,12.8,20.3,63.0,8.8,26.0,34.8,19.8,16.3,10.0,2.5,4.3,19.8,20.3,-14.8,2013
1,San Antonio Spurs,14,10,4,.714,48.0,102.0,37.9,78.9,48.1,9.4,22.6,41.6,16.7,22.9,73.1,8.6,32.0,40.6,22.9,14.3,6.5,4.6,7.0,20.4,20.9,5.9,2012
2,Miami Heat,23,16,7,.696,48.4,97.3,35.0,76.0,46.0,6.8,19.7,34.7,20.6,27.7,74.4,10.2,30.3,40.4,17.5,13.0,7.3,5.0,3.8,20.6,23.9,7.1,2012
3,Oklahoma City Thunder,20,13,7,.650,48.0,101.3,37.2,80.0,46.5,6.8,19.2,35.5,20.1,24.5,82.0,9.3,30.5,39.8,18.0,11.6,8.7,6.9,4.1,22.4,20.9,4.0,2012
4,Boston Celtics,20,11,9,.550,48.8,89.5,33.8,77.2,43.8,4.7,16.3,28.5,17.3,21.6,79.9,8.0,31.9,39.9,19.8,13.0,8.2,4.9,4.4,21.7,19.8,1.0,2012
5,Indiana Pacers,11,6,5,.545,48.5,90.9,33.7,79.5,42.4,5.7,17.9,32.0,17.7,23.0,77.1,12.4,31.6,44.0,16.3,15.1,6.9,5.5,5.5,22.0,20.4,1.4,2012
6,Philadelphia 76ers,13,7,6,.538,48.0,85.7,32.1,78.1,41.1,4.0,13.2,30.4,17.5,24.4,71.9,10.8,31.0,41.8,18.2,11.5,7.6,5.3,6.0,18.7,21.0,-1.2,2012
7,Denver Nuggets,7,3,4,.429,48.0,96.7,38.4,89.3,43.0,5.3,19.0,27.8,14.6,20.3,71.8,15.4,32.3,47.7,20.9,11.1,7.0,6.9,9.4,21.0,18.7,0.4,2012
7,Memphis Grizzlies,7,3,4,.429,48.7,91.4,32.6,76.3,42.7,3.4,11.9,28.9,22.9,30.7,74.4,13.4,29.3,42.7,16.3,15.4,7.1,4.9,6.1,23.3,25.6,0.7,2012
9,Los Angeles Lakers,12,5,7,.417,48.0,94.0,35.2,83.2,42.3,5.3,17.3,30.4,18.4,23.7,77.8,14.2,30.7,44.8,18.8,12.5,5.8,7.8,7.4,19.7,21.7,-4.2,2012
10,LA Clippers,11,4,7,.364,48.5,90.9,34.5,75.3,45.8,6.2,16.4,37.8,15.8,23.7,66.7,8.7,28.1,36.8,17.3,14.7,9.5,6.5,5.0,24.1,21.5,-4.6,2012
11,Atlanta Hawks,6,2,4,.333,48.8,82.2,31.8,79.3,40.1,5.8,18.8,31.0,12.7,16.2,78.4,10.0,32.5,42.5,17.5,15.3,5.5,3.3,6.2,19.8,18.8,-4.7,2012
11,Chicago Bulls,6,2,4,.333,48.0,84.3,34.0,80.7,42.1,4.3,12.7,34.2,12.0,18.5,64.9,11.5,35.3,46.8,22.5,14.3,5.2,6.7,6.3,20.5,18.8,-1.7,2012
13,New York Knicks,5,1,4,.200,48.0,82.8,30.6,73.4,41.7,5.0,18.2,27.5,16.6,21.8,76.1,12.4,28.0,40.4,12.6,18.4,6.0,2.2,3.8,24.2,19.8,-14.0,2012
13,Orlando Magic,5,1,4,.200,49.0,83.8,31.0,77.8,39.8,8.4,24.6,34.1,13.4,19.0,70.5,9.8,28.6,38.4,17.2,14.0,6.0,4.4,6.2,19.0,19.0,-10.8,2012
15,Dallas Mavericks,4,0,4,.000,48.0,93.3,31.5,78.0,40.4,8.0,21.5,37.2,22.3,26.8,83.2,10.5,30.0,40.5,15.5,14.5,8.0,3.5,7.3,20.8,24.3,-6.5,2012
15,Utah Jazz,4,0,4,.000,48.0,86.3,32.8,85.8,38.2,2.3,11.3,20.0,18.5,26.3,70.5,16.0,32.5,48.5,16.8,13.5,6.5,6.8,5.5,20.3,19.8,-16.0,2012
1,Dallas Mavericks,21,16,5,.762,48.2,98.2,34.5,74.9,46.1,8.8,22.2,39.4,20.5,25.4,80.9,9.7,28.7,38.4,20.1,12.9,7.1,4.1,5.1,20.1,21.6,5.8,2011
2,Miami Heat,21,14,7,.667,48.5,92.8,32.6,73.3,44.5,5.9,17.9,33.1,21.6,27.8,77.7,10.1,30.9,41.0,16.5,13.9,7.3,6.0,4.2,19.2,21.5,2.7,2011
3,Chicago Bulls,16,9,7,.563,48.3,92.5,34.0,80.6,42.2,6.3,19.2,32.9,18.2,23.2,78.4,13.4,30.2,43.6,20.1,13.6,7.3,6.6,6.4,21.3,19.6,4.3,2011
4,Boston Celtics,9,5,4,.556,48.6,94.7,35.8,76.9,46.5,7.4,16.0,46.5,15.7,20.1,77.9,8.9,30.1,39.0,21.0,15.7,7.3,4.2,6.4,21.9,19.7,1.3,2011
