 ,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,SEASON
11,LA Clippers,6,2,4,.333,48.0,98.3,37.2,85.0,43.7,5.7,19.5,29.1,18.3,29.3,62.5,11.3,34.8,46.2,18.2,9.7,8.5,4.7,3.5,20.5,23.8,1.0,2016
13,Dallas Mavericks,5,1,4,.200,48.0,93.8,35.4,81.2,43.6,6.2,21.4,29.0,16.8,24.2,69.4,9.2,25.8,35.0,20.6,11.8,6.0,2.4,4.6,24.0,22.4,-18.2,2016
13,Houston Rockets,5,1,4,.200,48.0,91.2,33.0,85.6,38.6,7.6,28.4,26.8,17.6,27.4,64.2,14.4,33.0,47.4,18.0,19.0,8.4,4.2,5.4,25.6,22.2,-18.8,2016
15,Detroit Pistons,4,0,4,.000,48.0,95.0,36.0,75.3,47.8,8.8,23.3,37.6,14.3,22.0,64.8,7.0,30.8,37.8,21.8,10.5,5.3,3.3,2.5,19.0,20.3,-8.5,2016
15,Memphis Grizzlies,4,0,4,.000,48.0,81.0,32.0,81.3,39.4,4.8,16.0,29.7,12.3,17.5,70.0,13.8,27.3,41.0,16.5,15.5,7.8,4.0,9.3,21.5,17.5,-22.0,2016
1,Cleveland Cavaliers,4,4,0,1.000,48.0,104.0,35.0,80.0,43.8,9.8,30.5,32.0,24.3,31.5,77.0,12.0,35.0,47.0,16.8,12.5,7.8,7.8,3.8,23.3,26.8,9.3,2015
1,Golden State Warriors,4,4,0,1.000,49.3,108.8,39.3,87.5,44.9,11.8,31.0,37.9,18.5,26.5,69.8,14.0,32.5,46.5,25.8,12.3,7.3,6.3,5.8,19.8,23.8,8.0,2015
1,Washington Wizards,4,4,0,1.000,49.3,110.3,39.5,82.0,48.2,10.8,24.3,44.3,20.5,28.5,71.9,11.0,37.3,48.3,26.3,14.5,6.5,6.5,2.3,20.5,25.0,14.0,2015
4,Houston Rockets,5,4,1,.800,48.0,114.2,40.0,85.8,46.6,9.2,26.2,35.1,25.0,36.8,67.9,11.2,34.8,46.0,23.4,14.4,7.8,5.2,4.6,24.6,27.2,4.2,2015
4,Memphis Grizzlies,5,4,1,.800,48.0,100.6,37.2,85.0,43.8,4.6,12.4,37.1,21.6,25.4,85.0,9.6,35.0,44.6,18.8,8.2,7.2,6.2,5.2,20.0,20.6,6.8,2015
